Target: DALA_SatFine

Observer: Montegancedo
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
24 Nov 2031 10:22:55.329    24 Nov 2031 17:57:45.586      27290.256649    
25 Nov 2031 10:19:54.499    25 Nov 2031 17:54:46.553      27292.053929    
26 Nov 2031 10:16:53.719    26 Nov 2031 17:51:47.916      27294.197192    
27 Nov 2031 10:13:52.983    27 Nov 2031 17:48:49.641      27296.658153    
28 Nov 2031 10:10:52.287    28 Nov 2031 17:45:51.705      27299.418413    
29 Nov 2031 10:07:51.626    29 Nov 2031 17:42:54.091      27302.465258    
30 Nov 2031 10:04:50.995    30 Nov 2031 17:39:56.785      27305.789279    
01 Dec 2031 10:01:50.390    01 Dec 2031 17:36:59.773      27309.382642    
02 Dec 2031 09:58:49.808    02 Dec 2031 17:34:03.045      27313.237271    
03 Dec 2031 09:55:49.249    03 Dec 2031 17:31:06.591      27317.341988    
04 Dec 2031 09:52:48.723    04 Dec 2031 17:28:10.400      27321.676406    
05 Dec 2031 09:49:48.266    05 Dec 2031 17:25:14.461      27326.194651    
06 Dec 2031 09:46:47.988    06 Dec 2031 17:22:18.763      27330.775302    
07 Dec 2031 09:43:48.202    07 Dec 2031 17:19:23.294      27335.092410    
08 Dec 2031 09:40:49.263    08 Dec 2031 17:16:28.040      27338.776855    
09 Dec 2031 09:37:50.708    09 Dec 2031 17:13:32.983      27342.275080    
10 Dec 2031 09:34:52.051    10 Dec 2031 17:10:38.104      27346.052965    
11 Dec 2031 09:31:53.209    11 Dec 2031 17:07:43.378      27350.169049    
12 Dec 2031 09:28:54.195    12 Dec 2031 17:04:48.770      27354.574992    
13 Dec 2031 09:25:55.031    13 Dec 2031 17:01:54.233      27359.202012    
14 Dec 2031 09:22:55.733    14 Dec 2031 16:58:59.698      27363.965129    
15 Dec 2031 09:19:56.311    15 Dec 2031 16:56:05.060      27368.748551    
16 Dec 2031 09:16:56.771    16 Dec 2031 16:53:10.165      27373.394078    
17 Dec 2031 09:13:57.114    17 Dec 2031 16:50:14.977      27377.862353    
18 Dec 2031 09:10:57.341    18 Dec 2031 16:47:20.223      27382.882398    
19 Dec 2031 09:07:57.449    19 Dec 2031 16:44:26.559      27389.110433    
20 Dec 2031 09:04:57.436    20 Dec 2031 16:41:33.693      27396.256953    
21 Dec 2031 09:01:57.300    21 Dec 2031 16:38:41.326      27404.026614    
22 Dec 2031 08:58:57.038    22 Dec 2031 16:35:49.309      27412.270950    
23 Dec 2031 08:55:56.649    23 Dec 2031 16:32:57.562      27420.912901    
24 Dec 2031 08:52:56.129    24 Dec 2031 16:30:06.037      27429.907856    
25 Dec 2031 08:49:55.475    25 Dec 2031 16:27:14.703      27439.227246    
26 Dec 2031 08:46:54.686    26 Dec 2031 16:24:23.537      27448.851159    
27 Dec 2031 08:43:53.757    27 Dec 2031 16:21:32.522      27458.764623    
28 Dec 2031 08:40:52.687    28 Dec 2031 16:18:41.642      27468.955449    
29 Dec 2031 08:37:51.472    29 Dec 2031 16:15:50.884      27479.412527    
30 Dec 2031 08:34:50.112    30 Dec 2031 16:13:00.236      27490.123973    
31 Dec 2031 08:31:48.612    31 Dec 2031 16:10:09.686      27501.074083    
01 Jan 2032 08:28:46.986    01 Jan 2032 16:07:19.223      27512.236796    
02 Jan 2032 08:25:45.276    02 Jan 2032 16:04:28.834      27523.558300    
03 Jan 2032 08:22:43.603    03 Jan 2032 16:01:38.507      27534.904902    
04 Jan 2032 08:19:42.280    04 Jan 2032 15:58:48.228      27545.948726    
05 Jan 2032 08:16:41.548    05 Jan 2032 15:55:57.981      27556.433086    
06 Jan 2032 08:13:40.895    06 Jan 2032 15:53:07.747      27566.852183    
07 Jan 2032 08:10:39.942    07 Jan 2032 15:50:17.504      27577.561297    
08 Jan 2032 08:07:38.648    08 Jan 2032 15:47:27.223      27588.574931    
09 Jan 2032 08:04:37.033    09 Jan 2032 15:44:36.866      27599.832542    
10 Jan 2032 08:01:35.122    10 Jan 2032 15:41:46.380      27611.257724    
11 Jan 2032 07:58:32.932    11 Jan 2032 15:38:55.687      27622.755364    
12 Jan 2032 07:55:30.473    12 Jan 2032 15:36:04.667      27634.193685    
13 Jan 2032 07:52:27.752    13 Jan 2032 15:33:13.155      27645.403631    
14 Jan 2032 07:49:24.770    14 Jan 2032 15:30:21.230      27656.460288    
15 Jan 2032 07:46:21.530    15 Jan 2032 15:27:29.785      27668.255760    
16 Jan 2032 07:43:18.029    16 Jan 2032 15:24:39.199      27681.169832    
17 Jan 2032 07:40:14.269    17 Jan 2032 15:21:49.122      27694.853777    
18 Jan 2032 07:37:10.247    18 Jan 2032 15:18:59.303      27709.055973    
19 Jan 2032 07:34:05.963    19 Jan 2032 15:16:09.612      27723.649085    
20 Jan 2032 07:31:01.417    20 Jan 2032 15:13:19.981      27738.563519    
21 Jan 2032 07:27:56.607    21 Jan 2032 15:10:30.364      27753.756653    
22 Jan 2032 07:24:51.533    22 Jan 2032 15:07:40.732      27769.199605    
23 Jan 2032 07:21:46.192    23 Jan 2032 15:04:51.063      27784.871034    
24 Jan 2032 07:18:40.584    24 Jan 2032 15:02:01.338      27800.753898    
25 Jan 2032 07:15:34.707    25 Jan 2032 14:59:11.541      27816.833471    
26 Jan 2032 07:12:28.562    26 Jan 2032 14:56:21.657      27833.095748    
27 Jan 2032 07:09:22.150    27 Jan 2032 14:53:31.675      27849.525594    
28 Jan 2032 07:06:15.477    28 Jan 2032 14:50:41.581      27866.103728    
29 Jan 2032 07:03:08.561    29 Jan 2032 14:47:51.362      27882.800323    
30 Jan 2032 07:00:01.446    30 Jan 2032 14:45:01.005      27899.558494    
31 Jan 2032 06:56:54.249    31 Jan 2032 14:42:10.495      27916.246579    
01 Feb 2032 06:53:47.257    01 Feb 2032 14:39:19.818      27932.561060    
02 Feb 2032 06:50:40.667    02 Feb 2032 14:36:28.955      27948.287891    
03 Feb 2032 06:47:33.987    03 Feb 2032 14:33:37.887      27963.899344    
04 Feb 2032 06:44:26.876    04 Feb 2032 14:30:46.587      27979.711692    
05 Feb 2032 06:41:19.304    05 Feb 2032 14:27:55.025      27995.721706    
06 Feb 2032 06:38:11.300    06 Feb 2032 14:25:03.159      28011.859630    
07 Feb 2032 06:35:02.889    07 Feb 2032 14:22:10.930      28028.040898    
08 Feb 2032 06:31:54.090    08 Feb 2032 14:19:18.250      28044.159326    
09 Feb 2032 06:28:44.915    09 Feb 2032 14:16:24.981      28060.066324    
10 Feb 2032 06:25:35.370    10 Feb 2032 14:13:30.958      28075.587598    
11 Feb 2032 06:22:25.459    11 Feb 2032 14:10:36.388      28090.929234    
12 Feb 2032 06:19:15.184    12 Feb 2032 14:07:42.227      28107.042719    
13 Feb 2032 06:16:04.545    13 Feb 2032 14:04:48.639      28124.093611    
14 Feb 2032 06:12:53.543    14 Feb 2032 14:01:55.273      28141.730020    
15 Feb 2032 06:09:42.177    15 Feb 2032 13:59:01.908      28159.731091    
16 Feb 2032 06:06:30.448    16 Feb 2032 13:56:08.430      28177.982138    
17 Feb 2032 06:03:18.357    17 Feb 2032 13:53:14.775      28196.417650    
18 Feb 2032 06:00:05.904    18 Feb 2032 13:50:20.899      28214.995780    
19 Feb 2032 05:56:53.087    19 Feb 2032 13:47:26.774      28233.687110    
20 Feb 2032 05:53:39.907    20 Feb 2032 13:44:32.376      28252.469163    
21 Feb 2032 05:50:26.364    21 Feb 2032 13:41:37.687      28271.323431    
22 Feb 2032 05:47:12.457    22 Feb 2032 13:38:42.690      28290.233497    
23 Feb 2032 05:43:58.187    23 Feb 2032 13:35:47.370      28309.183530    
24 Feb 2032 05:40:43.557    24 Feb 2032 13:32:51.714      28328.156552    
25 Feb 2032 05:37:28.575    25 Feb 2032 13:29:55.707      28347.131723    
26 Feb 2032 05:34:13.256    26 Feb 2032 13:26:59.335      28366.078863    
27 Feb 2032 05:30:57.640    27 Feb 2032 13:24:02.585      28384.945075    
28 Feb 2032 05:27:41.823    28 Feb 2032 13:21:05.441      28403.617789    
29 Feb 2032 05:24:26.045    29 Feb 2032 13:18:07.886      28421.841650    
01 Mar 2032 05:21:10.547    01 Mar 2032 13:15:09.903      28439.355198    
02 Mar 2032 05:17:54.934    02 Mar 2032 13:12:11.468      28456.533124    
03 Mar 2032 05:14:38.806    03 Mar 2032 13:09:12.554      28473.748825    
04 Mar 2032 05:11:22.115    04 Mar 2032 13:06:13.130      28491.014550    
05 Mar 2032 05:08:04.894    05 Mar 2032 13:03:13.149      28508.254915    
06 Mar 2032 05:04:47.173    06 Mar 2032 13:00:12.551      28525.378250    
07 Mar 2032 05:01:28.970    07 Mar 2032 12:57:11.240      28542.270507    
08 Mar 2032 04:58:10.300    08 Mar 2032 12:54:09.072      28558.772207    
09 Mar 2032 04:54:51.170    09 Mar 2032 12:51:05.869      28574.698783    
10 Mar 2032 04:51:31.586    10 Mar 2032 12:48:01.868      28590.282046    
11 Mar 2032 04:48:11.549    11 Mar 2032 12:44:58.034      28606.485071    
12 Mar 2032 04:44:51.061    12 Mar 2032 12:41:54.511      28623.450096    
13 Mar 2032 04:41:30.122    13 Mar 2032 12:38:50.955      28640.833706    
14 Mar 2032 04:38:08.733    14 Mar 2032 12:35:47.152      28658.419221    
15 Mar 2032 04:34:46.895    15 Mar 2032 12:32:42.986      28676.091776    
16 Mar 2032 04:31:24.608    16 Mar 2032 12:29:38.392      28693.784551    
17 Mar 2032 04:28:01.873    17 Mar 2032 12:26:33.327      28711.454290    
18 Mar 2032 04:24:38.689    18 Mar 2032 12:23:27.760      28729.070326    
19 Mar 2032 04:21:15.057    19 Mar 2032 12:20:21.666      28746.609135    
20 Mar 2032 04:17:50.976    20 Mar 2032 12:17:15.028      28764.051331    
21 Mar 2032 04:14:26.446    21 Mar 2032 12:14:07.826      28781.379750    
22 Mar 2032 04:11:01.469    22 Mar 2032 12:11:00.047      28798.577983    
23 Mar 2032 04:07:36.045    23 Mar 2032 12:07:51.674      28815.628824    
24 Mar 2032 04:04:10.183    24 Mar 2032 12:04:42.695      28832.512062    
25 Mar 2032 04:00:43.894    25 Mar 2032 12:01:33.094      28849.200378    
26 Mar 2032 03:57:17.208    26 Mar 2032 11:58:22.858      28865.650176    
27 Mar 2032 03:53:50.192    27 Mar 2032 11:55:11.970      28881.777807    
28 Mar 2032 03:50:23.015    28 Mar 2032 11:52:00.414      28897.398577    
29 Mar 2032 03:46:55.969    29 Mar 2032 11:48:48.170      28912.201225    
30 Mar 2032 03:43:28.931    30 Mar 2032 11:45:35.216      28926.285032    
31 Mar 2032 03:40:01.375    31 Mar 2032 11:42:21.525      28940.150081    
01 Apr 2032 03:36:33.155    01 Apr 2032 11:39:07.065      28953.909705    
02 Apr 2032 03:33:04.295    02 Apr 2032 11:35:51.791      28967.495590    
03 Apr 2032 03:29:34.832    03 Apr 2032 11:32:35.644      28980.812227    
04 Apr 2032 03:26:04.789    04 Apr 2032 11:29:18.535      28993.745426    
05 Apr 2032 03:22:34.184    05 Apr 2032 11:26:00.324      29006.139473    
06 Apr 2032 03:19:03.027    06 Apr 2032 11:22:40.818      29017.790198    
07 Apr 2032 03:15:31.324    07 Apr 2032 11:19:20.070      29028.746197    
08 Apr 2032 03:11:59.077    08 Apr 2032 11:15:59.000      29039.922795    
09 Apr 2032 03:08:26.290    09 Apr 2032 11:12:38.046      29051.756090    
10 Apr 2032 03:04:52.962    10 Apr 2032 11:09:16.891      29063.928749    
11 Apr 2032 03:01:19.097    11 Apr 2032 11:05:55.283      29076.186410    
12 Apr 2032 02:57:44.694    12 Apr 2032 11:02:33.086      29088.392557    
13 Apr 2032 02:54:09.754    13 Apr 2032 10:59:10.223      29100.469553    
14 Apr 2032 02:50:34.277    14 Apr 2032 10:55:46.646      29112.368561    
15 Apr 2032 02:46:58.264    15 Apr 2032 10:52:22.320      29124.056040    
16 Apr 2032 02:43:21.714    16 Apr 2032 10:48:57.221      29135.507132    
17 Apr 2032 02:39:44.627    17 Apr 2032 10:45:31.329      29146.702080    
18 Apr 2032 02:36:07.003    18 Apr 2032 10:42:04.627      29157.624037    
19 Apr 2032 02:32:28.842    19 Apr 2032 10:38:37.100      29168.257495    
20 Apr 2032 02:28:50.147    20 Apr 2032 10:35:08.734      29178.586876    
21 Apr 2032 02:25:10.921    21 Apr 2032 10:31:39.516      29188.594823    
22 Apr 2032 02:21:31.173    22 Apr 2032 10:28:09.433      29198.259462    
23 Apr 2032 02:17:50.923    23 Apr 2032 10:24:38.472      29207.548950    
24 Apr 2032 02:14:10.210    24 Apr 2032 10:21:06.619      29216.408748    
25 Apr 2032 02:10:29.131    25 Apr 2032 10:17:33.860      29224.728693    
26 Apr 2032 02:06:47.906    26 Apr 2032 10:14:00.177      29232.271217    
27 Apr 2032 02:03:06.782    27 Apr 2032 10:10:25.552      29238.769564    
28 Apr 2032 01:59:25.400    28 Apr 2032 10:06:49.961      29244.560931    
29 Apr 2032 01:55:43.309    29 Apr 2032 10:03:13.375      29250.065893    
30 Apr 2032 01:52:00.455    30 Apr 2032 09:59:35.759      29255.303642    
01 May 2032 01:48:16.878    01 May 2032 09:55:57.064      29260.185735    
02 May 2032 01:44:32.613    02 May 2032 09:52:17.219      29264.606294    
03 May 2032 01:40:47.684    03 May 2032 09:48:36.118      29268.433243    
04 May 2032 01:37:02.108    04 May 2032 09:44:53.589      29271.480567    
05 May 2032 01:33:15.894    05 May 2032 09:41:09.450      29273.555630    
06 May 2032 01:29:29.049    06 May 2032 09:37:24.075      29275.026087    
07 May 2032 01:25:41.578    07 May 2032 09:33:38.483      29276.905155    
08 May 2032 01:21:53.485    08 May 2032 09:29:52.741      29279.256346    
09 May 2032 01:18:04.772    09 May 2032 09:26:06.515      29281.743039    
10 May 2032 01:14:15.444    10 May 2032 09:22:19.600      29284.155503    
11 May 2032 01:10:25.503    11 May 2032 09:18:31.883      29286.380926    
12 May 2032 01:06:34.949    12 May 2032 09:14:43.303      29288.354279    
13 May 2032 01:02:43.786    13 May 2032 09:10:53.821      29290.034870    
14 May 2032 00:58:52.015    14 May 2032 09:07:03.410      29291.395384    
15 May 2032 00:54:59.636    15 May 2032 09:03:12.053      29292.416296    
16 May 2032 00:51:06.653    16 May 2032 08:59:19.736      29293.082708    
17 May 2032 00:47:13.066    17 May 2032 08:55:26.449      29293.382328    
18 May 2032 00:43:18.880    18 May 2032 08:51:32.183      29293.303981    
19 May 2032 00:39:24.097    19 May 2032 08:47:36.933      29292.836197    
20 May 2032 00:35:28.727    20 May 2032 08:43:40.692      29291.965422    
21 May 2032 00:31:32.781    21 May 2032 08:39:43.454      29290.673069    
22 May 2032 00:27:36.283    22 May 2032 08:35:45.213      29288.929574    
23 May 2032 00:23:39.282    23 May 2032 08:31:45.963      29286.680684    
24 May 2032 00:19:41.883    24 May 2032 08:27:45.696      29283.812447    
25 May 2032 00:15:44.325    25 May 2032 08:23:44.402      29280.077019    
26 May 2032 00:11:46.867    26 May 2032 08:19:42.070      29275.203134    
27 May 2032 00:07:49.128    27 May 2032 08:15:38.685      29269.556945    
28 May 2032 00:03:50.636    28 May 2032 08:11:34.226      29263.590068    
28 May 2032 23:59:51.335    29 May 2032 08:07:28.666      29257.330854    
29 May 2032 23:55:51.272    30 May 2032 08:03:21.966      29250.693919    
30 May 2032 23:51:50.488    31 May 2032 07:59:14.065      29243.577022    
31 May 2032 23:47:49.015    01 Jun 2032 07:55:04.868      29235.853028    
01 Jun 2032 23:43:46.874    02 Jun 2032 07:50:54.216      29227.341418    
02 Jun 2032 23:39:44.082    03 Jun 2032 07:46:41.918      29217.835919    
03 Jun 2032 23:35:40.653    04 Jun 2032 07:42:28.256      29207.603954    
04 Jun 2032 23:31:36.597    05 Jun 2032 07:38:14.328      29197.730797    
05 Jun 2032 23:27:31.926    06 Jun 2032 07:34:00.380      29188.454520    
06 Jun 2032 23:23:26.649    07 Jun 2032 07:29:46.080      29179.430769    
07 Jun 2032 23:19:20.776    08 Jun 2032 07:25:31.199      29170.423417    
08 Jun 2032 23:15:14.315    09 Jun 2032 07:21:15.623      29161.308626    
09 Jun 2032 23:11:07.274    10 Jun 2032 07:16:59.294      29152.019469    
10 Jun 2032 23:06:59.662    11 Jun 2032 07:12:42.180      29142.517878    
11 Jun 2032 23:02:51.487    12 Jun 2032 07:08:24.268      29132.781440    
12 Jun 2032 22:58:42.757    13 Jun 2032 07:04:05.553      29122.796761    
13 Jun 2032 22:54:33.480    14 Jun 2032 06:59:46.036      29112.555756    
14 Jun 2032 22:50:23.666    15 Jun 2032 06:55:25.720      29102.053387    
15 Jun 2032 22:46:13.326    16 Jun 2032 06:51:04.612      29091.286032    
16 Jun 2032 22:42:02.471    17 Jun 2032 06:46:42.721      29080.250050    
17 Jun 2032 22:37:51.116    18 Jun 2032 06:42:20.057      29068.940045    
18 Jun 2032 22:33:39.282    19 Jun 2032 06:37:56.628      29057.346156    
19 Jun 2032 22:29:26.996    20 Jun 2032 06:33:32.445      29045.448896    
20 Jun 2032 22:25:14.310    21 Jun 2032 06:29:07.518      29033.207763    
21 Jun 2032 22:21:01.321    22 Jun 2032 06:24:41.854      29020.532576    
22 Jun 2032 22:16:48.247    23 Jun 2032 06:20:15.461      29007.214009    
23 Jun 2032 22:12:35.430    24 Jun 2032 06:15:48.344      28992.914002    
24 Jun 2032 22:08:22.714    25 Jun 2032 06:11:20.505      28977.790751    
25 Jun 2032 22:04:09.501    26 Jun 2032 06:06:51.945      28962.443794    
26 Jun 2032 21:59:55.632    27 Jun 2032 06:02:22.656      28947.024642    
27 Jun 2032 21:55:41.151    28 Jun 2032 05:57:52.626      28931.474666    
28 Jun 2032 21:51:26.116    29 Jun 2032 05:53:21.822      28915.706297    
29 Jun 2032 21:47:10.572    30 Jun 2032 05:48:50.188      28899.615826    
30 Jun 2032 21:42:54.557    01 Jul 2032 05:44:17.618      28883.061094    
01 Jul 2032 21:38:38.100    02 Jul 2032 05:39:43.940      28865.839876    
02 Jul 2032 21:34:21.228    03 Jul 2032 05:35:09.073      28847.844653    
03 Jul 2032 21:30:03.966    04 Jul 2032 05:30:33.778      28829.812361    
04 Jul 2032 21:25:46.335    05 Jul 2032 05:25:59.054      28812.719016    
05 Jul 2032 21:21:28.356    06 Jul 2032 05:21:24.777      28796.420439    
06 Jul 2032 21:17:10.050    07 Jul 2032 05:16:50.624      28780.574627    
07 Jul 2032 21:12:51.435    08 Jul 2032 05:12:16.425      28764.990042    
08 Jul 2032 21:08:32.530    09 Jul 2032 05:07:42.099      28749.568954    
09 Jul 2032 21:04:13.353    10 Jul 2032 05:03:07.613      28734.259902    
10 Jul 2032 20:59:53.924    11 Jul 2032 04:58:32.959      28719.035141    
11 Jul 2032 20:55:34.260    12 Jul 2032 04:53:58.140      28703.879818    
12 Jul 2032 20:51:14.381    13 Jul 2032 04:49:23.167      28688.786359    
13 Jul 2032 20:46:54.305    14 Jul 2032 04:44:48.056      28673.751246    
14 Jul 2032 20:42:34.051    15 Jul 2032 04:40:12.824      28658.772949    
15 Jul 2032 20:38:13.642    16 Jul 2032 04:35:37.492      28643.850288    
16 Jul 2032 20:33:53.100    17 Jul 2032 04:31:02.081      28628.980807    
17 Jul 2032 20:29:32.451    18 Jul 2032 04:26:26.610      28614.158529    
18 Jul 2032 20:25:11.729    19 Jul 2032 04:21:51.100      28599.370160    
19 Jul 2032 20:20:50.983    20 Jul 2032 04:17:15.570      28584.587174    
20 Jul 2032 20:16:30.292    21 Jul 2032 04:12:40.038      28569.746495    
21 Jul 2032 20:12:09.823    22 Jul 2032 04:08:04.522      28554.699237    
22 Jul 2032 20:07:49.915    23 Jul 2032 04:03:29.036      28539.120793    
23 Jul 2032 20:03:30.791    24 Jul 2032 03:58:53.594      28522.802510    
24 Jul 2032 19:59:11.895    25 Jul 2032 03:54:18.207      28506.311191    
25 Jul 2032 19:54:52.820    26 Jul 2032 03:49:42.880      28490.060240    
26 Jul 2032 19:50:33.556    27 Jul 2032 03:45:07.615      28474.059179    
27 Jul 2032 19:46:14.167    28 Jul 2032 03:40:32.398      28458.231524    
28 Jul 2032 19:41:54.713    29 Jul 2032 03:35:57.200      28442.486638    
29 Jul 2032 19:37:35.243    30 Jul 2032 03:31:21.956      28426.712664    
30 Jul 2032 19:33:15.798    31 Jul 2032 03:26:46.550      28410.752067    
31 Jul 2032 19:28:56.412    01 Aug 2032 03:22:10.807      28394.395391    
01 Aug 2032 19:24:37.115    02 Aug 2032 03:17:34.781      28377.665477    
02 Aug 2032 19:20:17.936    03 Aug 2032 03:12:59.506      28361.570276    
03 Aug 2032 19:15:58.900    04 Aug 2032 03:08:25.737      28346.837808    
04 Aug 2032 19:11:40.030    05 Aug 2032 03:03:53.181      28333.151325    
05 Aug 2032 19:07:21.348    06 Aug 2032 02:59:21.528      28320.180205    
06 Aug 2032 19:03:02.877    07 Aug 2032 02:54:50.626      28307.748857    
07 Aug 2032 18:58:44.636    08 Aug 2032 02:50:20.401      28295.765092    
08 Aug 2032 18:54:26.645    09 Aug 2032 02:45:50.822      28284.177176    
09 Aug 2032 18:50:08.923    10 Aug 2032 02:41:21.877      28272.954026    
10 Aug 2032 18:45:51.490    11 Aug 2032 02:36:53.565      28262.075645    
11 Aug 2032 18:41:34.363    12 Aug 2032 02:32:25.891      28251.528095    
12 Aug 2032 18:37:17.561    13 Aug 2032 02:27:58.862      28241.300570    
13 Aug 2032 18:33:01.104    14 Aug 2032 02:23:32.487      28231.383448    
14 Aug 2032 18:28:45.010    15 Aug 2032 02:19:06.777      28221.766655    
15 Aug 2032 18:24:29.303    16 Aug 2032 02:14:41.741      28212.437844    
16 Aug 2032 18:20:14.008    17 Aug 2032 02:10:17.388      28203.379585    
17 Aug 2032 18:15:59.162    18 Aug 2032 02:05:53.726      28194.563800    
18 Aug 2032 18:11:44.823    19 Aug 2032 02:01:30.762      28185.938270    
19 Aug 2032 18:07:31.112    20 Aug 2032 01:57:08.502      28177.389748    
20 Aug 2032 18:03:18.297    21 Aug 2032 01:52:46.950      28168.653494    
21 Aug 2032 17:59:06.756    22 Aug 2032 01:48:26.110      28159.354047    
22 Aug 2032 17:54:56.197    23 Aug 2032 01:44:05.983      28149.785727    
23 Aug 2032 17:50:46.014    24 Aug 2032 01:39:46.564      28140.549576    
24 Aug 2032 17:46:36.088    25 Aug 2032 01:35:27.844      28131.755846    
25 Aug 2032 17:42:26.464    26 Aug 2032 01:31:09.803      28123.338803    
26 Aug 2032 17:38:17.199    27 Aug 2032 01:26:52.408      28115.208575    
27 Aug 2032 17:34:08.337    28 Aug 2032 01:22:35.599      28107.261931    
28 Aug 2032 17:29:59.913    29 Aug 2032 01:18:19.277      28099.363817    
29 Aug 2032 17:25:51.956    30 Aug 2032 01:14:03.279      28091.323180    
30 Aug 2032 17:21:44.487    31 Aug 2032 01:09:47.459      28082.972379    
31 Aug 2032 17:17:37.525    01 Sep 2032 01:05:32.350      28074.824229    
01 Sep 2032 17:13:31.088    02 Sep 2032 01:01:19.106      28068.018531    
02 Sep 2032 17:09:25.188    03 Sep 2032 00:57:07.739      28062.550968    
03 Sep 2032 17:05:19.838    04 Sep 2032 00:52:57.850      28058.011572    
04 Sep 2032 17:01:15.049    05 Sep 2032 00:48:49.206      28054.157369    
05 Sep 2032 16:57:10.831    06 Sep 2032 00:44:41.692      28050.861604    
06 Sep 2032 16:53:07.192    07 Sep 2032 00:40:35.245      28048.053011    
07 Sep 2032 16:49:04.142    08 Sep 2032 00:36:29.829      28045.687563    
08 Sep 2032 16:45:01.686    09 Sep 2032 00:32:25.422      28043.735463    
09 Sep 2032 16:40:59.833    10 Sep 2032 00:28:22.008      28042.174669    
10 Sep 2032 16:36:58.590    11 Sep 2032 00:24:19.577      28040.987373    
11 Sep 2032 16:32:57.963    12 Sep 2032 00:20:18.121      28040.157848    
12 Sep 2032 16:28:57.960    13 Sep 2032 00:16:17.630      28039.670835    
13 Sep 2032 16:24:58.589    14 Sep 2032 00:12:18.099      28039.509876    
14 Sep 2032 16:20:59.864    15 Sep 2032 00:08:19.519      28039.654839    
15 Sep 2032 16:17:01.806    16 Sep 2032 00:04:21.883      28040.076788    
16 Sep 2032 16:13:04.457    17 Sep 2032 00:00:25.182      28040.725239    
17 Sep 2032 16:09:07.917    17 Sep 2032 23:56:29.410      28041.492955    
18 Sep 2032 16:05:12.428    18 Sep 2032 23:52:34.555      28042.127071    
19 Sep 2032 16:01:18.357    19 Sep 2032 23:48:40.609      28042.251990    
20 Sep 2032 15:57:25.424    20 Sep 2032 23:44:47.556      28042.131913    
21 Sep 2032 15:53:33.026    21 Sep 2032 23:40:55.380      28042.354020    
22 Sep 2032 15:49:41.032    22 Sep 2032 23:37:04.057      28043.025422    
23 Sep 2032 15:45:49.475    23 Sep 2032 23:33:13.556      28044.080142    
